,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
0,3.97E-08,0,1.19728605,,,0.07
1,3.97E-08,6.77E-17,1.204012414,,29.6147624,0.129999995
2,3.97E-08,6.46E-17,1.208270596,,22.88523,0.150000006
3,3.97E-08,5.37E-17,1.21184603,,18.07190722,0.150000006
4,3.97E-08,4.55E-17,1.211346511,,16.82919485,0.079999998
5,3.97E-08,3.21E-17,1.212179577,,15.26705576,0.189999998
6,3.97E-08,3.40E-17,1.212996885,,15.72961137,0.150000006
7,3.97E-08,3.40E-17,1.211573628,,16.62644937,0.039999999
8,3.97E-08,3.33E-17,1.213830534,,15.3794639,0.129999995
9,3.97E-08,4.98E-17,1.21643006,,15.014315,0.119999997
10,3.97E-08,5.68E-17,1.20979537,,14.24108643,0.059999999
11,3.97E-08,7.86E-17,1.204279916,,14.95102819,0.029999999
12,3.97E-08,5.18E-17,1.206628134,,13.80362037,0.050000001
13,3.97E-08,2.31E-17,1.206201478,,15.5571413,0
14,3.97E-08,6.28E-17,1.206869933,,15.89764882,0
15,3.97E-08,7.67E-17,1.215433793,,17.33434793,0
16,3.97E-08,6.94E-17,1.220233073,,17.86078607,0
17,3.97E-08,4.24E-17,1.205768785,,25.24889576,0
18,3.97E-08,1.11E-17,1.194501046,,12.04997429,0
19,3.97E-08,6.94E-17,1.198016662,,21.52808508,0
20,3.97E-08,5.55E-17,1.198690927,,11.27540064,0
21,3.97E-08,9.52E-17,1.192817359,,12.05870839,0
22,3.97E-08,1.85E-17,1.184911717,,48.70001329,0
23,3.97E-08,0,1.18713091,,9.704121421,0
24,3.97E-08,7.40E-17,1.180472421,,9.704121421,0
25,3.97E-08,2.22E-16,1.220491027,,,0
26,3.97E-08,2.22E-16,1.220491027,,,0
27,3.97E-08,5.55E-17,1.227451403,,1.00E-112,0
28,3.97E-08,5.55E-17,1.227451403,,1.00E-112,0
29,3.97E-08,-1.11E-16,1.23441178,,,0
30,3.97E-08,0,1.19728605,,,0
31,3.97E-08,4.86E-17,1.202362139,,27.31918644,0
32,3.97E-08,4.86E-17,1.202362139,,27.31918644,0
33,3.97E-08,0,1.19728605,3.178368367,,0
34,1.29E-07,0,1.201237965,,30.9645737,0
35,1.29E-07,-1.04E-17,1.20836068,,16.4008346,0
36,3.97E-08,2.43E-17,1.208960636,,16.4008346,0
37,1.29E-07,0,1.199208007,3.184080074,27.31918644,0
38,2.47E-07,-5.55E-17,1.208172312,,17.2730749,0
39,2.47E-07,-5.46E-17,1.212228754,,13.57458162,0
40,3.97E-08,1.56E-17,1.21338384,,13.57458162,0
41,2.47E-07,-7.11E-17,1.204011366,3.201407402,17.3423651,0
42,2.24E-07,1.22E-16,1.211285083,,14.0495786,0
43,2.24E-07,8.33E-17,1.199789733,,15.83748927,0
44,3.97E-08,3.04E-17,1.201427157,,15.83748927,0
45,2.24E-07,1.08E-16,1.200826854,3.193010123,18.65672176,0
46,2.20E-08,4.44E-17,1.206886738,,17.2730749,0
47,2.20E-08,1.73E-17,1.191439663,,14.74282909,0
48,3.97E-08,1.99E-17,1.193392426,,14.74282909,0
49,2.20E-08,8.67E-17,1.20028528,3.194883047,13.0255823,0
50,4.10E-08,1.11E-17,1.204964262,,23.34045396,0
51,4.10E-08,-3.47E-18,1.201291801,,16.84584112,0
52,3.97E-08,6.77E-17,1.203151285,,16.84584112,0
53,4.10E-08,-1.21E-17,1.208795835,3.220536092,16.76420982,0
54,1.21E-07,3.33E-17,1.212385429,,22.41611351,0
55,1.21E-07,3.82E-17,1.20627126,,16.04965271,0
56,3.97E-08,5.20E-17,1.209217857,,16.04965271,0
57,1.21E-07,6.59E-17,1.205395748,3.212895235,17.35214003,0.01
58,-1.65E-08,2.78E-17,1.203832186,,23.34045396,0.01
59,-1.65E-08,3.82E-17,1.195056946,,16.11968498,0
60,3.97E-08,2.86E-17,1.198732427,,16.11968498,0
61,-1.65E-08,2.17E-17,1.202807589,3.206156307,20.09215463,0
62,1.67E-07,-6.66E-17,1.204289157,,17.2730749,0
63,1.67E-07,-5.55E-17,1.190153363,,16.02148265,0
64,3.97E-08,2.17E-17,1.194584808,,16.02148265,0
65,1.67E-07,-6.42E-17,1.204641607,3.214583101,17.52394127,0
66,-1.89E-07,-1.11E-17,1.196882604,,176.0428933,0
67,-1.89E-07,-6.94E-18,1.196917912,,70.82248721,0
68,3.97E-08,3.21E-17,1.201188187,,15.71091841,0
