,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
0,3.97E-08,0,1.19728605,,,0.109999999
1,3.97E-08,9.21E-17,1.206564961,,29.11622575,0.109999999
2,3.97E-08,4.44E-17,1.210093791,,19.03159471,0.159999996
3,3.97E-08,4.51E-17,1.210114491,,17.91139101,0.090000004
4,3.97E-08,5.29E-17,1.212265197,,17.79922394,0.170000002
5,3.97E-08,3.55E-17,1.211759493,,15.64090383,0.090000004
6,3.97E-08,4.18E-17,1.213109563,,15.14669376,0.109999999
7,3.97E-08,4.04E-17,1.208842022,,14.76349819,0.109999999
8,3.97E-08,6.41E-17,1.207181982,,15.65554447,0.100000001
9,3.97E-08,5.55E-17,1.206736221,,14.9141744,0.119999997
10,3.97E-08,6.10E-17,1.206380371,,14.27496465,0.119999997
11,3.97E-08,5.43E-17,1.210096762,,14.47116807,0.109999999
12,3.97E-08,6.77E-17,1.204677328,,13.58016945,0.079999998
13,3.97E-08,1.02E-17,1.203002846,,12.34387428,0.109999999
14,3.97E-08,5.89E-17,1.193377889,,14.3023948,0.07
15,3.97E-08,6.51E-17,1.197307694,,14.86969788,0.039999999
16,3.97E-08,2.88E-17,1.200596644,,12.49087543,0
17,3.97E-08,7.63E-17,1.204207595,,17.22025648,0
18,3.97E-08,5.29E-18,1.201734477,,11.40000843,0
19,3.97E-08,5.55E-17,1.201511907,,13.86016492,0
20,3.97E-08,1.11E-16,1.195376886,,14.80837756,0
21,3.97E-08,1.02E-16,1.203306409,,18.89560506,0.01
22,3.97E-08,1.01E-17,1.208860752,,12.9030412,0
23,3.97E-08,2.02E-17,1.205811721,,11.73560033,0
24,3.97E-08,1.01E-16,1.212778667,,23.89126286,0
25,3.97E-08,1.23E-17,1.211432908,,10.39881401,0
26,3.97E-08,0,1.215557989,,8.375453057,0
27,3.97E-08,3.17E-17,1.215513184,,60.14975872,0
28,3.97E-08,4.63E-17,1.222464576,,93.32105897,0
29,3.97E-08,8.33E-17,1.214057761,,75.56662534,0
30,3.97E-08,9.71E-17,1.198940705,,51.09396226,0
31,3.97E-08,7.40E-17,1.180472421,,9.704121421,0
32,3.97E-08,1.48E-16,1.202600894,,9.704121421,0
33,3.97E-08,1.11E-16,1.208888539,,257.8895306,0
34,3.97E-08,1.11E-16,1.208888539,,257.8895306,0
35,3.97E-08,-5.55E-17,1.215848915,,1.00E-112,0
36,3.97E-08,-5.55E-17,1.215848915,,1.00E-112,0
37,3.97E-08,1.11E-16,1.225729009,,1.00E-112,0
38,3.97E-08,8.33E-17,1.225815803,,1.00E-112,0
39,3.97E-08,1.11E-16,1.225729009,,1.00E-112,0
40,3.97E-08,1.94E-16,1.237418292,,1.00E-112,0
41,3.97E-08,5.55E-17,1.190628472,,257.8895306,0
42,3.97E-08,0,1.166820629,,,0
43,3.97E-08,0,1.166820629,,,0
44,3.97E-08,0,1.230966992,,,0
45,3.97E-08,0,1.166820629,,,0
46,3.97E-08,2.22E-16,1.146845163,,,0
47,3.97E-08,0,1.19728605,,,0
48,3.97E-08,5.90E-17,1.203449872,,27.31918644,0
49,3.97E-08,5.90E-17,1.203449872,,27.31918644,0
50,3.97E-08,0,1.19728605,3.178368367,,0
51,7.43E-08,0,1.203846792,,30.9645737,0
52,7.43E-08,0,1.200547189,,27.31918644,0
53,3.97E-08,3.47E-17,1.200911828,,27.31918644,0
54,7.43E-08,0,1.200188536,3.186963386,27.31918644,0
