,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
0,3.97E-08,0,1.19728605,,,0.100000001
1,3.97E-08,1.19E-16,1.205603913,,32.22884431,0
2,3.97E-08,4.80E-17,1.209560938,,24.27216229,0
3,3.97E-08,2.36E-17,1.211864978,,20.56172663,0.02
4,3.97E-08,2.02E-17,1.212812609,,19.24638897,0.02
5,3.97E-08,5.79E-17,1.210763323,,16.49241322,0.050000001
6,3.97E-08,3.49E-17,1.211433785,,16.13738786,0
7,3.97E-08,2.97E-17,1.211671899,,34.81925159,0
8,3.97E-08,4.76E-17,1.201437097,,29.50816778,0.02
9,3.97E-08,7.30E-17,1.208783885,,24.7297174,0.100000001
10,3.97E-08,3.97E-18,1.206207522,,39.16000103,0.100000001
11,3.97E-08,-1.39E-17,1.209932912,,61.96982376,0.07
12,3.97E-08,2.78E-17,1.211300317,,121.6026849,0.039999999
13,3.97E-08,-3.70E-17,1.189351012,,9.704121421,0
14,3.97E-08,3.70E-17,1.204074645,,257.8895916,0
15,3.97E-08,2.78E-17,1.244378668,,257.8895306,0.01
16,3.97E-08,0,1.19728605,,,0
17,3.97E-08,2.78E-17,1.197260387,,49.85131369,0.100000001
18,3.97E-08,2.78E-17,1.197260387,,49.85131369,0.01
19,3.97E-08,0,1.19728605,3.178368367,,0
20,3.97E-08,3.33E-17,1.197255254,,258.0929613,0.039999999
21,3.97E-08,1.13E-16,1.209041259,,31.84678546,0.050000001
22,3.97E-08,1.13E-16,1.209041259,,31.84678546,0.039999999
23,3.97E-08,2.08E-17,1.197266803,3.190435174,49.85131369,0.100000001
24,2.55E-08,0,1.206757613,,65.97675885,0.029999999
25,2.55E-08,0,1.211643059,,30.17437085,0.050000001
26,3.97E-08,1.14E-16,1.211308671,,30.17437085,0.07
27,2.55E-08,0,1.200896666,3.196080088,36.15189351,0.079999998
28,1.84E-07,-5.55E-17,1.209456134,,30.9645737,0.02
29,1.84E-07,-7.29E-17,1.216823002,,19.24951352,0.050000001
30,3.97E-08,6.77E-17,1.21631179,,19.24951352,0.07
31,1.84E-07,-6.77E-17,1.200498027,3.195496272,36.7945983,0.029999999
32,-2.50E-07,0,1.212014861,,108.2438204,0.050000001
33,-2.50E-07,-1.73E-17,1.219053978,,132.5189171,0.050000001
34,3.97E-08,1.54E-16,1.217852444,,27.07093997,0.07
35,-2.50E-07,0,1.203426154,3.199238786,151.1974976,0.07
36,6.57E-07,0,1.21837587,,20.85115247,0.01
37,6.57E-07,1.21E-17,1.220662938,,16.49465596,0.02
38,3.97E-08,4.68E-17,1.219968152,,16.49465596,0.02
39,6.57E-07,-1.39E-17,1.209403637,3.218200557,22.2896627,0.050000001
40,-3.31E-07,-1.11E-17,1.21694929,,99.5134689,0.059999999
41,-3.31E-07,5.20E-18,1.216446865,,72.22740174,0.059999999
42,3.97E-08,7.89E-17,1.215477217,,20.45949676,0.02
43,-3.31E-07,-5.20E-18,1.206852005,3.208164355,128.8910441,0.050000001
44,-5.46E-07,0,1.209581043,,124.7995551,0.100000001
45,-5.46E-07,-6.33E-17,1.208593588,,73.29371172,0.039999999
46,3.97E-08,6.77E-17,1.20785221,,20.22696088,0.039999999
47,-5.46E-07,0,1.205788448,3.211026648,121.2954101,0.02
48,-2.30E-07,1.11E-17,1.204628141,,117.7094398,0.029999999
49,-2.30E-07,8.93E-17,1.213918008,,52.0513368,0.039999999
50,3.97E-08,4.77E-17,1.213615246,,16.25880172,0.07
51,-2.30E-07,5.20E-18,1.212429088,3.220488795,110.3133877,0.02
52,-2.35E-07,5.55E-17,1.206751363,,142.7262468,0.039999999
53,-2.35E-07,-1.04E-17,1.209651847,,60.30494268,0.140000001
54,3.97E-08,6.85E-17,1.208845736,,17.53651406,0
55,-2.35E-07,1.56E-17,1.208181299,3.221327292,103.2699014,0
56,-6.54E-08,0,1.196235997,,259.8512833,0.029999999
57,-6.54E-08,0,1.202505201,,176.5392707,0.039999999
58,-6.54E-08,0,1.208411373,,127.6112925,0.059999999
59,-6.54E-08,0,1.208006343,,128.1922794,0.029999999
60,-6.54E-08,0,1.209225321,,125.4322353,0.039999999
61,-6.54E-08,-1.07E-18,1.209881267,,121.3189451,0.100000001
62,-6.54E-08,0,1.206296718,,130.8955662,0.059999999
63,-6.54E-08,-1.32E-18,1.207695227,,131.4972463,0.029999999
64,-6.54E-08,-1.42E-18,1.211842805,,104.1369119,0.059999999
65,-6.54E-08,0,1.206164934,,108.8063879,0.059999999
66,-6.54E-08,-2.14E-18,1.20795537,,126.0890944,0.02
67,-6.54E-08,-2.41E-18,1.210103132,,104.8088355,0.039999999
68,-6.54E-08,0,1.209441486,,132.5924065,0.01
69,-6.54E-08,0,1.20777395,,131.7760826,0.050000001
70,-6.54E-08,0,1.205741045,,147.3161169,0.039999999
71,-6.54E-08,0,1.199399808,,219.4602018,0.050000001
72,-6.54E-08,0,1.204017806,,168.0353586,0.090000004
73,-6.54E-08,0,1.215251043,,125.8611271,0.050000001
74,-6.54E-08,0,1.213332374,,105.9906074,0.039999999
75,-6.54E-08,0,1.216427415,,97.22072311,0
76,-6.54E-08,0,1.213646788,,145.2852426,0.039999999
77,-6.54E-08,0,1.218402338,,144.8086679,0.100000001
78,-6.54E-08,0,1.210502646,,257.8929504,0.029999999
79,-6.54E-08,0,1.212860752,,161.9218227,0.029999999
80,-6.54E-08,0,1.196235997,,257.8895916,0.01
81,-6.54E-08,0,1.205747096,,257.8895916,0.100000001
82,-6.54E-08,0,1.210502646,,257.8895306,0.079999998
83,-6.54E-08,0,1.196235997,,257.8895306,0.079999998
84,-6.54E-08,0,1.210502646,,257.8895306,0.039999999
85,-6.54E-08,0,1.215218859,,128.2516181,0
86,-6.54E-08,0,1.224769295,,257.8895306,0
87,-6.54E-08,0,1.196235997,,0,0.029999999
88,-6.54E-08,0,1.196235997,,0,0.079999998
89,-6.54E-08,0,1.196235997,,0,0.109999999
90,-6.54E-08,0,1.224769295,,0,0.029999999
91,-6.54E-08,-5.55E-18,1.201660413,,140.6449153,0.090000004
92,-6.54E-08,-6.94E-18,1.218873685,,67.79248261,0.01
93,3.97E-08,1.01E-16,1.217222918,,23.57396664,0.029999999
94,-6.54E-08,-2.60E-18,1.205595996,3.20800786,129.3110026,0.129999995
95,-3.64E-08,-2.22E-17,1.202012483,,156.5680335,0.07
96,-3.64E-08,-2.86E-17,1.20887914,,21.5558851,0.090000004
97,3.97E-08,7.20E-17,1.207248114,,21.53081317,0.090000004
98,-3.64E-08,-3.12E-17,1.211236939,3.233801802,19.34602822,0.029999999
99,9.40E-08,0,1.201917084,,30.9645737,0
100,9.40E-08,-2.95E-17,1.216396716,,25.61920739,0.100000001
101,3.97E-08,8.15E-17,1.214284495,,25.60496005,0.059999999
102,9.40E-08,0,1.204953995,3.209630481,26.37731713,0.090000004
103,-2.62E-07,-6.66E-17,1.211704114,,120.8329607,0.07
104,-2.62E-07,-2.34E-17,1.214673228,,78.32929022,0.059999999
105,3.97E-08,7.63E-17,1.212770892,,23.04215122,0.079999998
106,-2.62E-07,-5.81E-17,1.207597091,3.221943786,96.58148887,0.059999999
107,-5.40E-08,1.67E-17,1.205715266,,148.4930991,0.039999999
108,-5.40E-08,-9.54E-18,1.213258903,,77.79234589,0.119999997
109,3.97E-08,9.02E-17,1.210750697,,23.78430327,0
110,-5.40E-08,-1.04E-17,1.203077289,3.21757105,108.6211871,0.090000004
111,-7.06E-08,-4.44E-17,1.211824313,,120.8329607,0.150000006
112,-7.06E-08,8.15E-17,1.217688399,,85.62465058,0.109999999
113,3.97E-08,7.46E-17,1.215225551,,21.04637764,0.180000007
114,-7.06E-08,-2.60E-17,1.207499151,3.218433827,104.8822722,0
115,-7.84E-08,0,1.211873541,,120.8329607,0.01
116,-7.84E-08,-3.30E-17,1.20914877,,74.22774805,0.02
117,3.97E-08,5.29E-17,1.207436258,,17.54794765,0.079999998
118,-7.84E-08,-1.73E-18,1.204305068,3.211041372,121.6568661,0
119,-2.18E-07,6.66E-17,1.202629855,,176.0428933,0.039999999
120,-2.18E-07,2.60E-17,1.21234521,,63.10082607,0.079999998
121,3.97E-08,7.55E-17,1.210749928,,22.16053349,0.029999999
122,-2.18E-07,3.12E-17,1.206588071,3.207457106,133.2549393,0.050000001
123,3.25E-07,-5.55E-17,1.214859179,,46.19047544,0.039999999
124,3.25E-07,-1.21E-17,1.21003036,,18.21161465,0.02
125,3.97E-08,6.33E-17,1.208171533,,18.22078636,0.170000002
126,3.25E-07,-2.69E-17,1.205642434,3.211643206,24.95647166,0.059999999
127,-2.17E-07,-1.11E-17,1.206508158,,145.050643,0.01
128,-2.17E-07,6.07E-18,1.214335004,,63.01560913,0.150000006
129,3.97E-08,6.16E-17,1.212399817,,19.79825091,0.01
130,-2.17E-07,-2.86E-17,1.206774135,3.211700975,121.4365526,0.050000001
131,-3.07E-07,0,1.195664422,,259.8512833,0.059999999
132,-3.07E-07,3.89E-17,1.206268341,,107.8662226,0.01
133,-3.07E-07,1.22E-17,1.204120499,,86.32854052,0.02
134,-3.07E-07,2.56E-17,1.206764727,,80.45744472,0.129999995
135,-3.07E-07,8.71E-18,1.207263853,,71.97678068,0.090000004
136,-3.07E-07,1.55E-17,1.211425117,,70.7672262,0.039999999
137,-3.07E-07,2.02E-17,1.212041442,,81.40070968,0.140000001
138,-3.07E-07,-2.27E-17,1.213698095,,75.00698386,0.109999999
139,-3.07E-07,-9.80E-18,1.211763452,,71.61548636,0.119999997
140,-3.07E-07,-3.17E-17,1.206373053,,78.75108043,0.119999997
141,-3.07E-07,-4.54E-17,1.192896617,,106.9419544,0.159999996
142,-3.07E-07,-3.08E-17,1.211144434,,68.81867733,0.129999995
143,-3.07E-07,-2.78E-17,1.226927364,,155.4817977,0.119999997
144,-3.07E-07,4.44E-17,1.197499757,,176.9683533,0
145,-3.07E-07,-3.70E-17,1.215283028,,144.6379334,0.029999999
146,-3.07E-07,-5.55E-17,1.230779717,,128.2516181,0.109999999
147,-3.07E-07,1.11E-17,1.200961813,,184.4630292,0.02
148,-3.07E-07,-2.60E-18,1.210302789,,80.49070645,0.029999999
149,3.97E-08,5.90E-17,1.208502916,,22.46191394,0.039999999
150,-3.07E-07,2.08E-17,1.207529698,3.217842174,106.593324,0.109999999
151,8.70E-08,1.11E-17,1.202719733,,153.378395,0.039999999
152,8.70E-08,5.46E-17,1.211700567,,22.68557851,0.079999998
153,3.97E-08,7.55E-17,1.209605979,,22.81064985,0.050000001
154,8.70E-08,7.46E-17,1.206351252,3.216625647,24.75664408,0.050000001
155,3.43E-08,-2.22E-17,1.202026413,,159.1911203,0
156,3.43E-08,-7.89E-17,1.214593297,,26.99086006,0
157,3.97E-08,7.98E-17,1.211720187,,27.03159359,0.100000001
158,3.43E-08,-1.13E-17,1.206002758,3.222373789,24.57645441,0.02
159,3.01E-08,-1.11E-17,1.208819493,,112.2040132,0.100000001
160,3.01E-08,1.04E-17,1.212687354,,20.17148824,0
161,3.97E-08,5.81E-17,1.210964493,,20.2791348,0.01
162,3.01E-08,-5.20E-18,1.205768621,3.207834108,30.01630162,0.039999999
163,9.20E-08,1.11E-17,1.199359874,,192.6613676,0.059999999
164,9.20E-08,6.94E-18,1.215614156,,24.75168396,0.07
165,3.97E-08,6.85E-17,1.212990294,,24.83733349,0.059999999
166,9.20E-08,2.60E-18,1.206328939,3.215217853,28.00619148,0.039999999
167,-9.03E-08,1.11E-16,1.198753281,,216.8847686,0.07
168,-9.03E-08,4.42E-17,1.211155891,,67.35982921,0.01
169,3.97E-08,6.94E-17,1.209111011,,22.98724212,0.029999999
170,-9.03E-08,7.98E-17,1.203941884,3.216618486,106.1932772,0.07
171,1.72E-07,1.11E-17,1.198924871,,205.8087966,0.01
172,1.72E-07,-3.64E-17,1.207830294,,19.94110126,0.159999996
173,3.97E-08,4.68E-17,1.206375296,,20.03595398,0.02
174,1.72E-07,1.91E-17,1.20651213,3.22795336,25.07824223,0.039999999
175,6.68E-08,3.33E-17,1.203089158,,153.378395,0.150000006
176,6.68E-08,1.73E-17,1.206227476,,21.82556242,0.150000006
177,3.97E-08,4.60E-17,1.204764742,,21.8777063,0.170000002
178,6.68E-08,3.99E-17,1.208882878,3.221024867,25.11695136,0.119999997
179,-3.50E-08,-3.33E-17,1.202461414,,166.8806717,0.059999999
180,-3.50E-08,1.73E-18,1.208598247,,22.44998169,0.039999999
181,3.97E-08,5.03E-17,1.207365374,,22.77462625,0.02
182,-3.50E-08,-1.13E-17,1.204542011,3.214807397,31.00846204,0.029999999
183,-9.71E-08,-5.55E-17,1.199140855,,212.5119085,0.109999999
184,-9.71E-08,-1.91E-17,1.213395208,,70.58559351,0.07
185,3.97E-08,6.94E-17,1.211029355,,26.8690956,0.109999999
186,-9.71E-08,-1.91E-17,1.206615385,3.215909786,97.34388095,0.129999995
187,1.81E-08,0,1.195577502,,,0.189999998
188,1.81E-08,7.77E-18,1.205019204,,33.4450833,0.180000007
189,1.81E-08,1.83E-17,1.208222003,,26.18436844,0.100000001
190,1.81E-08,1.39E-17,1.208685609,,28.89105513,0.159999996
191,1.81E-08,2.12E-17,1.210278065,,26.46332392,0.119999997
192,1.81E-08,1.98E-17,1.206245912,,30.71296767,0.119999997
193,1.81E-08,4.16E-17,1.203258793,,42.48053993,0.119999997
194,1.81E-08,4.63E-17,1.214425091,,35.29242759,0.029999999
195,1.81E-08,2.43E-17,1.199992304,,101.9374578,0.01
196,1.81E-08,3.97E-17,1.205882982,,83.90332229,0.029999999
197,1.81E-08,5.05E-17,1.20802601,,66.03287206,0.029999999
198,1.81E-08,6.11E-17,1.197652339,,111.2446203,0.01
