,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
0,3.97E-08,0,1.19728605,,,0.039999999
1,3.97E-08,1.07E-16,1.20444469,,33.61527265,0.129999995
2,3.97E-08,7.30E-17,1.206616857,,29.31834063,0
3,3.97E-08,6.66E-17,1.207877572,,28.17712925,0
4,3.97E-08,1.78E-17,1.21030645,,21.79790192,0.01
5,3.97E-08,2.44E-17,1.21171644,,35.00575115,0
6,3.97E-08,4.79E-17,1.201710675,,42.60248676,0.029999999
7,3.97E-08,3.62E-17,1.206981443,,23.78458281,0.029999999
8,3.97E-08,1.85E-17,1.208423596,,22.77383272,0.02
9,3.97E-08,5.00E-17,1.198565682,,9.60325969,0
10,3.97E-08,8.33E-17,1.197152607,,42.7235041,0
11,3.97E-08,5.55E-17,1.203449509,,38.21710044,0
12,3.97E-08,1.25E-16,1.214412875,,129.2577562,0.050000001
13,3.97E-08,1.30E-16,1.189337116,,174.6990034,0.059999999
14,3.97E-08,0,1.166820629,,,0.029999999
15,3.97E-08,0,1.166820629,,,0.029999999
16,3.97E-08,2.22E-16,1.146845163,,,0.02
17,3.97E-08,0,1.19728605,,,0.039999999
18,3.97E-08,5.03E-17,1.201628964,,32.99929813,0.01
19,3.97E-08,5.03E-17,1.201628964,,32.99929813,0.01
20,3.97E-08,0,1.19728605,3.178368367,,0
21,3.26E-07,-1.33E-16,1.202059331,,101.1282082,0.01
22,3.26E-07,-5.38E-17,1.208006304,,32.2263379,0.050000001
23,3.97E-08,1.02E-16,1.207513439,,32.2263379,0.029999999
24,3.26E-07,-1.75E-16,1.199020162,3.190085108,38.78214566,0.01
25,5.40E-08,2.22E-17,1.204644337,,104.3124812,0.01
26,5.40E-08,-1.56E-17,1.208465923,,32.80728057,0.039999999
27,3.97E-08,9.37E-17,1.207765857,,32.80728057,0.02
28,5.40E-08,8.67E-18,1.201761389,3.196206766,32.99929813,0.029999999
29,-9.22E-08,0,1.20472969,,162.0881742,0
30,-9.22E-08,0,1.20730698,,98.80236308,0
31,3.97E-08,8.50E-17,1.206676519,,33.38319018,0
32,-9.22E-08,0,1.202969582,3.197859722,156.8745007,0
33,-3.67E-07,-1.11E-17,1.199304181,,216.8847686,0.170000002
34,-3.67E-07,-3.47E-18,1.205968466,,97.21448983,0.029999999
35,3.97E-08,8.67E-17,1.205428955,,34.83495808,0.029999999
36,-3.67E-07,-3.47E-18,1.201251562,3.20596145,131.5899538,0.029999999
37,-6.54E-08,6.66E-17,1.196328828,,258.0929613,0.059999999
38,-6.54E-08,6.59E-17,1.199766173,,117.8544996,0.109999999
39,3.97E-08,5.03E-17,1.200098168,,44.16952577,0.059999999
40,-6.54E-08,6.94E-17,1.198656203,3.204990684,142.8731445,0.050000001
41,-1.58E-07,3.33E-17,1.19639016,,258.0929613,0.029999999
42,-1.58E-07,5.03E-17,1.201561802,,121.5582294,0.02
43,3.97E-08,6.07E-17,1.201434398,,39.67725991,0.01
44,-1.58E-07,5.38E-17,1.198646031,3.2043476,150.5702894,0.109999999
45,1.01E-07,-1.11E-17,1.205481008,,119.4499692,0.039999999
46,1.01E-07,-3.47E-17,1.202707183,,38.82162397,0.029999999
47,3.97E-08,6.77E-17,1.202382458,,38.82162397,0.029999999
48,1.01E-07,-2.26E-17,1.198618442,3.204654857,44.15445049,0.07
49,-1.23E-07,-1.11E-17,1.199351307,,216.8847686,0.109999999
50,-1.23E-07,1.73E-18,1.201706533,,110.2520256,0.07
51,3.97E-08,6.42E-17,1.201526985,,40.66455012,0.090000004
52,-1.23E-07,-5.20E-18,1.199586569,3.206636147,139.8335627,0.100000001
53,-2.38E-07,0,1.202371093,,184.9114748,0
54,-2.38E-07,4.16E-17,1.203261812,,103.4558845,0
55,3.97E-08,6.59E-17,1.202835438,,37.82199779,0
56,-2.38E-07,5.90E-17,1.20142737,3.210789836,126.8221836,0.07
57,6.53E-09,0,1.195652876,,,0
58,6.53E-09,2.22E-18,1.206567352,,28.73959444,0
59,6.53E-09,-2.80E-17,1.213395407,,22.85058976,0.050000001
60,6.53E-09,-6.87E-17,1.214456526,,16.65322726,0.090000004
61,6.53E-09,-5.26E-17,1.211492336,,16.99867164,0
62,6.53E-09,-4.25E-17,1.212800793,,17.33141766,0.109999999
63,6.53E-09,-5.61E-17,1.21223482,,16.61122238,0.07
64,6.53E-09,-4.80E-17,1.214398353,,17.25776038,0.02
65,6.53E-09,-5.83E-17,1.213833252,,15.80548525,0.029999999
66,6.53E-09,-5.48E-17,1.215378774,,16.33532291,0.119999997
67,6.53E-09,-8.41E-17,1.216958327,,14.82324543,0.079999998
68,6.53E-09,-6.41E-17,1.218571367,,15.86328766,0.059999999
69,6.53E-09,-7.55E-17,1.214921181,,15.41870406,0.050000001
70,6.53E-09,-8.46E-17,1.218301518,,14.9393877,0.039999999
71,6.53E-09,-5.15E-17,1.213048652,,15.31410966,0
72,6.53E-09,-1.00E-16,1.224730724,,15.15910825,0.02
73,6.53E-09,-7.22E-17,1.216044317,,15.43587731,0.029999999
74,6.53E-09,-5.43E-17,1.2087629,,15.0071652,0.02
75,6.53E-09,-6.14E-17,1.20539449,,14.45771262,0.07
76,6.53E-09,-2.34E-17,1.207151123,,17.02284232,0.039999999
77,6.53E-09,-6.31E-17,1.207584457,,16.03263524,0.029999999
78,6.53E-09,-3.75E-17,1.212601815,,17.64217482,0.029999999
79,6.53E-09,-6.97E-17,1.215946264,,15.53927213,0.01
80,6.53E-09,-8.17E-17,1.216186985,,16.92924493,0.029999999
81,6.53E-09,-3.81E-17,1.209986669,,14.92786305,0.029999999
82,6.53E-09,-3.99E-17,1.211010786,,23.8468797,0.029999999
83,6.53E-09,-2.15E-17,1.207970737,,31.80731303,0.100000001
84,6.53E-09,-6.89E-17,1.212574796,,36.0815176,0.07
85,6.53E-09,-1.59E-17,1.213699041,,26.26817303,0.059999999
86,6.53E-09,-8.11E-17,1.21064018,,18.35155,0.02
87,6.53E-09,-5.79E-17,1.208536534,,15.13661291,0.170000002
88,6.53E-09,-6.28E-17,1.20676425,,12.66400521,0.039999999
89,6.53E-09,-4.04E-17,1.211933752,,15.26390834,0.059999999
90,6.53E-09,-6.61E-17,1.219532591,,15.75202998,0.109999999
91,6.53E-09,-3.70E-17,1.217590617,,24.29335809,0.059999999
92,6.53E-09,-8.99E-17,1.222752256,,39.05064374,0.100000001
93,6.53E-09,-2.34E-17,1.214526986,,45.64735228,0.050000001
94,6.53E-09,-8.33E-17,1.213762527,,34.28740059,0.050000001
95,6.53E-09,-2.61E-17,1.209895836,,23.62186378,0.029999999
96,6.53E-09,-7.77E-17,1.216106408,,19.33874666,0.01
97,6.53E-09,-2.96E-17,1.210600596,,35.38923398,0.050000001
98,6.53E-09,-1.22E-16,1.221408016,,33.4808393,0.079999998
99,6.53E-09,-1.71E-17,1.213737474,,28.09010407,0.159999996
100,6.53E-09,-1.25E-16,1.223074147,,37.29437709,0.02
101,6.53E-09,-3.03E-17,1.21547403,,54.82276604,0.140000001
102,6.53E-09,-5.55E-17,1.211048542,,60.82029696,0.050000001
103,6.53E-09,-3.33E-17,1.206545993,,72.49266118,0.029999999
104,6.53E-09,-6.66E-17,1.210812129,,22.42483665,0
105,6.53E-09,-3.33E-17,1.210194275,,54.50568404,0.029999999
106,6.53E-09,-3.89E-17,1.212504622,,80.59396789,0.100000001
107,6.53E-09,0,1.206452968,,66.65645512,0
108,6.53E-09,-3.08E-17,1.210051795,,69.16115274,0.02
109,6.53E-09,0,1.215460724,,76.11624838,0.050000001
110,6.53E-09,-6.78E-17,1.218262449,,46.05302466,0.029999999
111,6.53E-09,-8.33E-17,1.227402127,,57.94452686,0
112,6.53E-09,-9.52E-17,1.221642248,,11.35411622,0
113,6.53E-09,-4.76E-17,1.226050046,,20.82238771,0
114,6.53E-09,-1.35E-16,1.22085689,,70.21918849,0.039999999
115,6.53E-09,-8.72E-17,1.225136511,,48.76488557,0.039999999
116,6.53E-09,-1.33E-16,1.225211232,,61.80838482,0.079999998
117,6.53E-09,-6.66E-17,1.224085585,,116.3975935,0.039999999
118,6.53E-09,-2.22E-17,1.217561643,,105.352204,0.039999999
119,6.53E-09,-7.77E-17,1.222819109,,106.4442495,0.02
120,6.53E-09,-2.22E-17,1.210044193,,65.14396842,0.01
121,6.53E-09,-1.11E-16,1.205928376,,49.02094824,0.029999999
122,6.53E-09,-1.11E-16,1.214461833,,4.267230896,0.109999999
123,6.53E-09,2.78E-17,1.200282587,,89.32358351,0.100000001
124,6.53E-09,-1.25E-16,1.20767423,,132.7672701,0
125,6.53E-09,-9.25E-17,1.227171204,,88.5047775,0.02
126,6.53E-09,-1.67E-16,1.23260082,,1.00E-112,0.039999999
127,6.53E-09,0,1.229786703,,,0.039999999
128,6.53E-09,0,1.21271979,,257.8895306,0.07
129,6.53E-09,0,1.195652876,,,0.079999998
130,6.53E-09,0,1.21271979,,257.8895306,0.059999999
131,6.53E-09,-1.67E-16,1.215533907,,1.00E-112,0.039999999
132,6.53E-09,0,1.213894284,,1.00E-112,0
133,6.53E-09,0,1.229786703,,,0.02
134,6.53E-09,0,1.229786703,,,0.02
135,6.53E-09,0,1.229786703,,,0.039999999
136,6.53E-09,-3.33E-16,1.235414938,,,0.029999999
137,6.53E-09,0,1.232135692,,,0.039999999
138,6.53E-09,-1.11E-16,1.162858989,,,0.059999999
139,6.53E-09,0,1.232135692,,,0.059999999
140,6.53E-09,-1.11E-16,1.162858989,,,0.150000006
141,6.53E-09,1.11E-16,1.143555076,,,0.039999999
142,6.53E-09,1.11E-17,1.202965637,,144.1247602,0.050000001
143,6.53E-09,3.47E-17,1.204148311,,35.5741318,0.07
144,3.97E-08,7.37E-17,1.203222906,,35.56384701,0.039999999
145,6.53E-09,6.07E-17,1.199816035,3.214843269,41.80439263,0.059999999
146,-5.73E-08,7.77E-17,1.202209543,,143.9127182,0.02
147,-5.73E-08,6.94E-17,1.206368607,,62.39862483,0.100000001
148,3.97E-08,8.15E-17,1.205291971,,33.92420279,0.039999999
149,-5.73E-08,9.71E-17,1.198811477,3.206336676,54.45932322,0.02
150,-2.76E-07,5.55E-17,1.213473772,,120.7568905,0.059999999
151,-2.76E-07,3.30E-17,1.214145258,,78.66215638,0.109999999
152,3.97E-08,9.89E-17,1.210760539,,29.55611041,0.029999999
153,-2.76E-07,0,1.201949547,3.212458395,119.1759394,0.02
154,-3.36E-07,2.22E-17,1.221707142,,107.7174163,0
155,-3.36E-07,8.67E-18,1.208819609,,67.69097549,0.039999999
156,3.97E-08,6.77E-17,1.207169599,,28.65080662,0.039999999
